Id,SalePrice
2658,115347.29364035287
2718,203230.45810957195
2414,193648.82025305653
1989,113047.38174425207
625,170263.89015783533
333,98818.79436542642
1327,104345.83042209304
858,148918.25115241617
95,204680.3905086966
1568,158053.5595773201
2482,173618.94679571257
1364,121159.74713668339
2584,163435.1812567831
818,279495.72356853035
2673,138707.4198166825
2089,105304.96577863576
1297,136041.61804022983
790,125173.08186410271
2616,182379.5844795323
720,172660.21927778248
222,136953.13112997293
557,118259.91794327852
1148,204451.76741511264
2766,154427.5741137418
534,185407.2061030364
1452,116838.29984287384
630,125784.99148333898
2648,124039.61913238182
125,147889.6381942898
1904,74714.03443340187
1670,107866.12878230798
756,104631.40599474496
717,233309.91609646255
1032,154392.84972857058
852,217045.0708653088
1731,176644.01858661883
2639,113328.23556411637
2071,92458.73983967057
1267,120648.0877040433
1851,195085.53305276926
567,158879.27482018896
2439,221058.22315914658
1898,147854.26407187092
647,134947.41261454573
2256,214085.51137758134
979,95839.38316984229
1444,215744.34949911028
2485,113827.50128693202
157,121460.99982948201
88,125249.50029398694
2003,113441.5122474774
186,181260.0818357834
1425,260398.45275906345
2695,120328.09390405442
738,107234.57199724052
395,148447.5981322343
1353,168174.659325316
1878,133261.18354372325
390,168489.29293767572
1456,233134.04437888367
1103,300869.6567035605
1387,130424.8997019222
2070,131336.2924569293
1199,183762.78725655066
2479,179998.13265716608
501,304449.68179769494
2362,101231.84459801303
1718,188841.9955798945
2188,84163.56788241463
1483,145082.83106392718
2557,98293.57774755813
437,341560.2693932543
2224,198835.55001020874
1628,181371.60569852244
397,131918.97582335348
587,194593.87989307538
2182,861216.4017718937
971,133903.03519635965
2611,146209.25909657386
1887,99574.93275626855
2399,332401.2628660642
2148,214552.00728045907
304,112705.06670999817
1997,119696.75933862543
2817,118701.90263377098
1431,193727.47096209135
427,344237.5441893186
263,122591.01033632823
598,164777.25140710632
2895,235678.0834739133
687,146504.5964099038
1822,128643.01835806518
2191,103878.6288006265
179,118258.09397775262
1009,212488.87837084327
2010,114459.98264445891
1991,131666.13909052653
1411,157304.25773025182
1721,244129.09238463483
1144,187352.500068097
593,221872.74659400634
575,266388.96743551316
1249,173912.20673138645
1604,126303.61837160359
1064,492352.87541596836
1923,145921.892626398
1988,100603.07801643848
2325,173667.9070527669
114,192902.31961707666
